Dry,Moist,Sebaceous,Foot
Propionibacterium acnes,Corynebacterium tuberculostearicum,Propionibacterium acnes,Corynebacterium tuberculostearicum
Corynebacterium tuberculostearicum,Staphylococcus hominis,Staphylococcus epidermidis,Staphylococcus hominis
Streptococcus mitis,Propionibacterium acnes,Corynebacterium tuberculostearicum,Staphylococcus warneri
Streptococcus oralis,Staphylococcus epidermidis,Staphylococcus capitis,Staphylococcus epidermidis
Streptococcus pseudopneumoniae,Staphylococcus capitis,Corynebacterium simulans,Staphylococcus capitis
Streptococcus sanguinis,Corynebacterium fastidiosum,Streptococcus mitis,Staphylococcus haemolyticus
Micrococcus luteus,Corynebacterium afermentans,Staphylococcus hominis,Micrococcus luteus
Staphylococcus epidermidis,Micrococcus luteus,Corynebacterium aurimucosum,Corynebacterium afermentans
Staphylococcus capitis,Enhydrobacter aerosaccus,Corynebacterium kroppenstedtii,Corynebacterium simulans
Veillonella parvula,Corynebacterium simulans,Corynebacterium amycolatum,Corynebacterium resistens